[epoch:0, iter:1] avg_LOSS: 2.494 | avg_ACC: 9.375% 
[epoch:0, iter:2] avg_LOSS: 2.388 | avg_ACC: 14.062% 
[epoch:0, iter:3] avg_LOSS: 2.382 | avg_ACC: 13.021% 
[epoch:0, iter:4] avg_LOSS: 2.365 | avg_ACC: 11.719% 
[epoch:0, iter:5] avg_LOSS: 2.334 | avg_ACC: 11.875% 
[epoch:0, iter:6] avg_LOSS: 2.319 | avg_ACC: 13.021% 
[epoch:0, iter:7] avg_LOSS: 2.318 | avg_ACC: 13.170% 
[epoch:0, iter:8] avg_LOSS: 2.321 | avg_ACC: 14.258% 
[epoch:0, iter:9] avg_LOSS: 2.288 | avg_ACC: 15.625% 
[epoch:0, iter:10] avg_LOSS: 2.265 | avg_ACC: 16.562% 
[epoch:0, iter:11] avg_LOSS: 2.254 | avg_ACC: 16.761% 
[epoch:0, iter:12] avg_LOSS: 2.259 | avg_ACC: 16.536% 
[epoch:0, iter:13] avg_LOSS: 2.262 | avg_ACC: 16.587% 
[epoch:0, iter:14] avg_LOSS: 2.253 | avg_ACC: 17.188% 
[epoch:0, iter:15] avg_LOSS: 2.234 | avg_ACC: 17.604% 
[epoch:0, iter:16] avg_LOSS: 2.233 | avg_ACC: 17.676% 
[epoch:0, iter:17] avg_LOSS: 2.226 | avg_ACC: 18.290% 
[epoch:0, iter:18] avg_LOSS: 2.210 | avg_ACC: 19.010% 
[epoch:0, iter:19] avg_LOSS: 2.205 | avg_ACC: 19.243% 
[epoch:0, iter:20] avg_LOSS: 2.193 | avg_ACC: 19.531% 
[epoch:0, iter:21] avg_LOSS: 2.196 | avg_ACC: 19.717% 
[epoch:0, iter:22] avg_LOSS: 2.189 | avg_ACC: 20.028% 
[epoch:0, iter:23] avg_LOSS: 2.188 | avg_ACC: 20.109% 
[epoch:0, iter:24] avg_LOSS: 2.177 | avg_ACC: 20.703% 
[epoch:0, iter:25] avg_LOSS: 2.182 | avg_ACC: 21.062% 
[epoch:0, iter:26] avg_LOSS: 2.179 | avg_ACC: 21.394% 
[epoch:0, iter:27] avg_LOSS: 2.170 | avg_ACC: 21.412% 
[epoch:0, iter:28] avg_LOSS: 2.168 | avg_ACC: 21.875% 
[epoch:0, iter:29] avg_LOSS: 2.160 | avg_ACC: 22.306% 
[epoch:0, iter:30] avg_LOSS: 2.159 | avg_ACC: 22.292% 
[epoch:0, iter:31] avg_LOSS: 2.147 | avg_ACC: 22.530% 
[epoch:0, iter:32] avg_LOSS: 2.139 | avg_ACC: 22.559% 
[epoch:0, iter:33] avg_LOSS: 2.135 | avg_ACC: 22.633% 
[epoch:0, iter:34] avg_LOSS: 2.130 | avg_ACC: 22.978% 
[epoch:0, iter:35] avg_LOSS: 2.124 | avg_ACC: 23.214% 
[epoch:0, iter:36] avg_LOSS: 2.119 | avg_ACC: 23.264% 
[epoch:0, iter:37] avg_LOSS: 2.113 | avg_ACC: 23.311% 
[epoch:0, iter:38] avg_LOSS: 2.101 | avg_ACC: 23.520% 
[epoch:0, iter:39] avg_LOSS: 2.096 | avg_ACC: 24.079% 
[epoch:0, iter:40] avg_LOSS: 2.094 | avg_ACC: 24.336% 
[epoch:0, iter:41] avg_LOSS: 2.093 | avg_ACC: 24.352% 
[epoch:0, iter:42] avg_LOSS: 2.090 | avg_ACC: 24.591% 
[epoch:0, iter:43] avg_LOSS: 2.085 | avg_ACC: 24.891% 
[epoch:0, iter:44] avg_LOSS: 2.079 | avg_ACC: 25.071% 
[epoch:0, iter:45] avg_LOSS: 2.078 | avg_ACC: 25.069% 
[epoch:0, iter:46] avg_LOSS: 2.073 | avg_ACC: 25.068% 
[epoch:0, iter:47] avg_LOSS: 2.067 | avg_ACC: 25.233% 
[epoch:0, iter:48] avg_LOSS: 2.061 | avg_ACC: 25.423% 
[epoch:0, iter:49] avg_LOSS: 2.054 | avg_ACC: 25.638% 
[epoch:0, iter:50] avg_LOSS: 2.050 | avg_ACC: 25.875% 
[epoch:0, iter:51] avg_LOSS: 2.046 | avg_ACC: 26.011% 
[epoch:0, iter:52] avg_LOSS: 2.037 | avg_ACC: 26.442% 
[epoch:0, iter:53] avg_LOSS: 2.035 | avg_ACC: 26.621% 
[epoch:0, iter:54] avg_LOSS: 2.031 | avg_ACC: 26.678% 
[epoch:0, iter:55] avg_LOSS: 2.028 | avg_ACC: 26.875% 
[epoch:0, iter:56] avg_LOSS: 2.024 | avg_ACC: 26.897% 
[epoch:0, iter:57] avg_LOSS: 2.018 | avg_ACC: 27.138% 
[epoch:0, iter:58] avg_LOSS: 2.010 | avg_ACC: 27.344% 
[epoch:0, iter:59] avg_LOSS: 2.006 | avg_ACC: 27.304% 
[epoch:0, iter:60] avg_LOSS: 2.001 | avg_ACC: 27.396% 
[epoch:0, iter:61] avg_LOSS: 1.999 | avg_ACC: 27.536% 
[epoch:0, iter:62] avg_LOSS: 1.995 | avg_ACC: 27.671% 
[epoch:0, iter:63] avg_LOSS: 1.988 | avg_ACC: 27.827% 
[epoch:0, iter:64] avg_LOSS: 1.983 | avg_ACC: 27.930% 
[epoch:0, iter:65] avg_LOSS: 1.980 | avg_ACC: 27.861% 
[epoch:0, iter:66] avg_LOSS: 1.977 | avg_ACC: 27.959% 
[epoch:0, iter:67] avg_LOSS: 1.972 | avg_ACC: 28.032% 
[epoch:0, iter:68] avg_LOSS: 1.969 | avg_ACC: 28.148% 
[epoch:0, iter:69] avg_LOSS: 1.966 | avg_ACC: 28.261% 
[epoch:0, iter:70] avg_LOSS: 1.963 | avg_ACC: 28.393% 
[epoch:0, iter:71] avg_LOSS: 1.960 | avg_ACC: 28.389% 
[epoch:0, iter:72] avg_LOSS: 1.954 | avg_ACC: 28.494% 
[epoch:0, iter:73] avg_LOSS: 1.950 | avg_ACC: 28.639% 
[epoch:0, iter:74] avg_LOSS: 1.945 | avg_ACC: 28.822% 
[epoch:0, iter:75] avg_LOSS: 1.943 | avg_ACC: 28.812% 
[epoch:0, iter:76] avg_LOSS: 1.942 | avg_ACC: 28.906% 
[epoch:0, iter:77] avg_LOSS: 1.943 | avg_ACC: 28.876% 
[epoch:0, iter:78] avg_LOSS: 1.941 | avg_ACC: 28.846% 
[epoch:0, iter:79] avg_LOSS: 1.938 | avg_ACC: 29.055% 
